RANK,NAME,LANGUAGE,TYPE,MOST_STREAMED_GAME,2ND_MOST_STREAMED_GAME,AVERAGE_STREAM_DURATION,FOLLOWERS_GAINED_PER_STREAM,AVG_VIEWERS_PER_STREAM,AVG_GAMES_PER_STREAM,TOTAL_TIME_STREAMED,TOTAL_FOLLOWERS,TOTAL_VIEWS,TOTAL_GAMES_STREAMED,ACTIVE_DAYS_PER_WEEK,MOST_ACTIVE_DAY,DAY_WITH_MOST_FOLLOWERS_GAINED
611,by_owl,Russian,personality,Just Chatting,Dota 2,3.9,2710,9997,2.0,8461,528000,20100000,185,5.3,Wednesday,Tuesday
612,begizo,Russian,personality,Casino,,5.3,20,0,1.0,110,2,0,1,0.6,Monday,Sunday
615,derzko69,Russian,personality,Just Chatting,Minecraft,3.1,2208,0,2.2,9450,669000,151,183,2.2,Saturday,Thursday
620,helin139,Russian,personality,Counter-Strike,Just Chatting,4.0,1167,0,2.1,144,454000,0,71,3.8,Saturday,Sunday
636,vymago,Russian,personality,Casino,,16.3,120,0,1.0,650,23,0,1,2.5,Thursday,Saturday
640,malchugov,Russian,personality,Dota 2,Counter-Strike,4.0,1290,46619,1.3,1997,71600,26500000,15,1.8,Monday,Monday
666,qusazytu,Russian,personality,Casino,,6.0,0,0,1.0,60,0,0,1,0.2,Thursday,Monday
669,elwycco,Russian,personality,Just Chatting,Space Station 13,5.3,4180,21509,2.6,3007,242000,12000000,239,1.9,Thursday,Sunday
671,ilame,Russian,personality,Path of Exile,PUBG: BATTLEGROUNDS,8.9,1510,20014,1.9,22635,408000,53800000,367,6.5,Thursday,Thursday
676,qudegam,Russian,personality,Casino,,4.1,70,0,1.0,80,7,0,1,2.0,Tuesday,Tuesday
679,stintik,Russian,personality,Just Chatting,Counter-Strike,3.7,3300,3182,1.7,4977,545000,5240000,290,3.5,Tuesday,Tuesday
683,frg_ix,Russian,personality,Casino,,4.9,10,0,1.0,100,1300,0,1,1.1,Tuesday,Wednesday
692,ybicanoooobov,Russian,personality,Dota 2,Heroes Arena,5.8,2300,34737,1.0,14575,670000,87700000,2,6.4,Wednesday,Saturday
704,5opka,Russian,personality,Just Chatting,Minecraft,4.7,7660,209,2.0,3721,628000,1740000,109,2.0,Tuesday,Saturday
711,luxurygirl_c,Russian,personality,Casino,,7.2,-1277,0,1.0,140,0,0,1,1.4,Friday,Friday
713,girlsluxury,Russian,personality,Casino,,6.5,30,0,1.0,130,10400,0,1,1.8,Monday,Monday
717,luxurygirl_g,Russian,personality,Casino,,5.9,1279,0,1.0,60,1300,0,1,0.8,Saturday,Saturday
726,bepofani,Russian,personality,Casino,,11.8,40,0,1.0,120,4,0,1,1.0,Wednesday,Wednesday
732,orkpod,Russian,personality,World of Warcraft,Dread Hunger,4.5,1120,9303,1.4,9759,254000,20100000,635,4.8,Wednesday,Friday
737,luxurygirl_y,Russian,personality,Casino,,3.3,1850,0,1.0,70,1300,0,1,1.6,Saturday,Saturday
741,vyleja,Russian,personality,Casino,,5.4,10,0,1.0,50,1,0,1,0.2,Tuesday,Tuesday
747,mipooshka,Russian,personality,Dota 2,Just Chatting,5.0,4718,24485,1.2,800,66900,343000,2,0.1,Tuesday,Friday
767,skillz0r1337,Russian,personality,Just Chatting,Counter-Strike,4.3,2160,3425,2.1,5642,301000,4770000,132,3.8,Sunday,Friday
769,lxrsgirls,Russian,personality,Casino,,6.9,0,0,1.0,140,10500,0,1,1.1,Tuesday,Monday
771,putezice,Russian,personality,Casino,,17.7,4240,0,1.0,530,848,0,1,1.9,Thursday,Friday
780,tpabomah,Russian,personality,Dota 2,Total War: WARHAMMER III,5.5,3590,17325,1.0,8289,563000,27100000,23,5.2,Sunday,Friday
801,juice,Russian,personality,Just Chatting,Escape from Tarkov,7.2,450,8714,1.7,1725,124000,21800000,992,6.0,Saturday,Tuesday
802,justcooman,Russian,personality,Dota 2,Counter-Strike,5.0,2370,15281,1.0,7831,385000,24800000,8,4.4,Wednesday,Monday
808,dunduk,Russian,personality,Escape from Tarkov,Escape from Tarkov: Arena,6.9,880,12625,1.4,10887,141000,20100000,144,4.8,Friday,Tuesday
832,torontotokyo17,Russian,personality,Dota 2,ELDEN RING,5.3,1915,14706,1.2,6050,239000,1830000,18,0.8,Sunday,Monday
835,9pasha,Russian,personality,Dota 2,Heroes of Might and Magic III: The Restoration of Erathia,5.9,2970,3753,1.2,9340,64000,987000,4,0.6,Friday,Sunday
836,icuvabi,Russian,personality,Casino,,13.6,8760,0,1.0,270,877,0,1,0.6,Saturday,Sunday
839,aunkere,Russian,personality,Counter-Strike,Just Chatting,3.6,3180,10389,1.2,5265,520000,17000000,21,4.1,Saturday,Monday
846,akyuliych,Russian,personality,Just Chatting,Counter-Strike,2.3,1283,7134,1.3,164,939000,5220000,52,2.4,Tuesday,Wednesday
864,omybexul,Russian,personality,Casino,,5.5,40,0,1.0,60,5,0,1,0.6,Wednesday,Wednesday
866,terablade,Russian,personality,Hearthstone,World of Warcraft,6.0,580,8070,1.1,704,69500,971000,49,3.5,Saturday,Friday
874,vozipu,Russian,personality,Casino,,5.2,0,0,1.0,100,0,0,1,2.0,Tuesday,Tuesday
886,nyrepik,Russian,personality,Casino,,8.3,8640,0,1.0,170,864,0,1,0.4,Thursday,Friday
897,todukori,Russian,personality,Casino,,8.4,1840,0,1.0,250,553,0,1,0.7,Friday,Saturday
899,bisejif,Russian,personality,Casino,,5.0,10,0,1.0,50,2,0,1,0.2,Tuesday,Tuesday
905,versuta,Russian,personality,Dota 2,PUBG: BATTLEGROUNDS,5.8,540,1238,1.3,12087,491000,121000000,26,5.3,Thursday,Thursday
925,vukiby,Russian,personality,Casino,,6.8,10,0,1.0,70,1,0,1,1.0,Tuesday,Tuesday
935,makupag,Russian,personality,Casino,,10.3,8650,0,1.0,210,865,0,1,0.5,Monday,Sunday
944,manyrin,Russian,personality,Just Chatting,World of Warcraft,5.8,1240,11664,1.3,12239,537000,48500000,109,5.4,Sunday,Tuesday
946,kumalezo,Russian,personality,Casino,,2.9,2340,0,1.0,60,234,0,1,0.7,Monday,Monday
953,relaxcis,Russian,personality,VALORANT,Just Chatting,7.4,1300,0,1.1,4062,74600,305,15,2.9,Saturday,Sunday
975,homaxih,Russian,personality,Casino,,3.1,20,0,1.0,60,3,0,1,0.7,Tuesday,Tuesday
990,karmikkoala,Russian,personality,Just Chatting,DARK SOULS III,7.2,1090,13845,1.9,14056,216000,27300000,311,4.9,Tuesday,Sunday
